"time","prev_time","pause_mean","pause_cnt","pause_cnt1s","pause_ratio","pause_ratio1s","event_cnt","event_keyboard_cnt","event_mouse_cnt","event_focus_cnt","event_browser_cnt","src_id","ui_id","tgt_len","user_id","edit_distance","rank"
"138949","3836","1709.98630137","73","31","0.898379981144","0.720775248472","269","82","172","15","0","16","2","22","57","7","14"
"208099","138949","1542.8019802","101","38","0.748792641964","0.5910456081","640","388","237","15","0","17","2","44","57","21","10"
"64623","208099","1450.31707317","41","17","0.920152267768","0.687479689894","93","36","56","1","0","18","2","28","57","11","11"
"65800","64623","2135.42857143","28","13","0.908693009119","0.756580547112","79","42","36","1","0","19","2","29","57","10","1"
"38488","65800","1137.21428571","28","8","0.827322801912","0.548742465184","85","50","31","4","0","20","2","12","57","7","11"
"121155","38488","1584.27536232","69","30","0.902273946597","0.704221864554","232","75","143","14","0","21","2","27","57","14","10"
"13417","121155","2473.4","5","2","0.921741074756","0.789371692629","11","0","10","1","0","22","2","14","57","0","3"
"25622","13417","1707.0","14","6","0.932714073843","0.724611661853","32","12","19","1","0","23","2","14","57","3","5"
"104071","25622","1357.46875","64","29","0.834795476165","0.649940905728","200","124","75","1","0","24","2","22","57","15","1"
"17134","104071","2264.14285714","7","5","0.925002918174","0.865063616202","33","0","29","4","0","25","2","13","57","0","5"
"47464","17134","1790.30434783","23","12","0.867541715827","0.741804314849","88","28","57","3","0","26","2","15","57","4","12"
"133041","1","1956.53846154","65","33","0.955908329011","0.824016656519","158","122","34","2","0","0","2","22","42","4","1"
"221409","133041","1931.74766355","107","44","0.933552836606","0.772443757932","242","186","54","2","0","1","2","35","42","11","11"
"235712","221409","1282.24074074","162","54","0.881257636438","0.617987204724","405","280","120","5","0","2","2","28","42","22","3"
"134411","235712","1577.64935065","77","35","0.903787636429","0.723556851746","243","175","59","9","0","3","2","16","42","2","4"
"90191","134411","2233.54054054","37","21","0.916288764954","0.799902429289","94","65","27","2","0","4","2","21","42","4","5"
"121966","90191","1546.12676056","71","27","0.900045914435","0.707894003247","145","122","21","2","0","5","2","24","42","10","1"
"354269","121966","1448.12962963","216","75","0.882933590012","0.656752354849","587","408","163","16","0","6","2","36","42","23","2"
"450607","354269","1641.78367347","245","102","0.892655906366","0.715630249863","742","617","117","8","0","7","2","28","42","21","7"
"65772","450607","2105.75","28","16","0.896445295871","0.78726509761","79","35","42","2","0","8","2","21","42","3","2"
"104269","65772","1805.68518519","54","24","0.935148510104","0.762450968169","153","89","62","2","0","9","2","13","42","6","1"
"115865","104269","2141.19607843","51","21","0.942484788331","0.800932119277","125","80","43","2","0","10","2","17","42","5","7"
"154176","115865","1829.45333333","75","24","0.889950446243","0.705213522208","232","200","30","2","0","11","2","24","42","11","3"
"258804","154176","1319.53179191","173","50","0.882053600408","0.621269377598","573","412","156","5","0","12","2","26","42","24","7"
"67777","258804","1376.17777778","45","20","0.913702288387","0.720037770925","125","92","31","2","0","13","2","22","42","5","4"
"551972","67777","1549.359375","320","89","0.898224909959","0.670216967527","768","525","224","19","0","14","1","42","42","26","11"
"101344","551972","1025.13414634","82","18","0.829462030313","0.50331544048","188","153","29","6","0","15","1","19","42","10","12"
"183759","101344","1177.48550725","138","42","0.88427233496","0.589222840786","274","223","49","2","0","16","1","21","42","11","1"
"477481","183759","1530.91007194","278","90","0.89132970736","0.68194545961","652","576","74","2","0","17","1","41","42","23","9"
"218860","477481","1297.09589041","146","43","0.865283743032","0.627506168327","336","298","32","6","0","18","1","28","42","11","9"
"187277","218860","1029.18987342","158","43","0.868296694202","0.541134255675","345","327","16","2","0","19","1","29","42","19","14"
"98785","187277","1267.56060606","66","21","0.846879586982","0.597924786152","176","124","50","2","0","20","1","13","42","11","8"
"197428","98785","1176.48275862","145","41","0.864061835201","0.582217314667","329","275","43","11","0","21","1","25","42","18","5"
"72982","197428","757.589041096","73","16","0.757775889945","0.360075087008","195","165","28","2","0","22","1","15","42","4","4"
"264281","72982","1379.29585799","169","55","0.882019517105","0.653603550766","426","398","26","2","0","23","1","14","42","6","7"
"189552","264281","1094.21710526","152","37","0.877442601502","0.5393454039","337","250","82","5","0","24","1","23","42","19","15"
"101610","189552","1321.59090909","66","15","0.858429288456","0.615352819604","158","123","29","6","0","25","1","12","42","4","16"
"132360","101610","1197.46534653","101","24","0.913750377758","0.608741311574","183","130","42","11","0","26","1","15","42","8","13"
"113308","1","2631.36585366","41","23","0.952148127228","0.870468104635","100","47","37","16","0","0","2","23","35","3","10"
"225484","113308","1845.75757576","99","41","0.810390094197","0.673768427028","421","353","59","9","0","1","2","33","35","30","9"
"161386","225484","1640.96470588","85","36","0.864275711648","0.681626659066","261","187","62","12","0","2","2","25","35","14","9"
"198074","161386","2365.15584416","77","38","0.919439199491","0.809874087462","233","116","94","23","0","3","2","15","35","12","10"
"103649","198074","1776.7173913","46","18","0.788517014154","0.647714883887","199","170","22","7","0","4","2","21","35","4","1"
"156774","103649","1700.98666667","75","23","0.813744626022","0.641477540919","286","234","42","10","0","5","2","25","35","22","9"
"447189","156774","2632.15286624","157","74","0.924101442567","0.805663824468","485","265","180","40","0","6","2","30","35","21","1"
"241261","447189","2021.125","104","54","0.871243176477","0.75768151504","367","261","78","28","0","7","2","26","35","23","10"
"321667","241261","2240.2","130","53","0.905364864907","0.781196081662","420","268","123","29","0","8","2","19","35","10","11"
"180220","321667","2109.78378378","74","36","0.866296748419","0.743263788703","286","205","62","19","0","9","2","16","35","11","7"
"303921","180220","2441.01801802","111","56","0.891524442207","0.790629801824","351","277","60","14","0","10","2","18","35","14","11"
"456066","303921","2169.43548387","186","87","0.884773256502","0.766562295808","649","467","119","63","0","11","2","27","35","14","14"
"222706","456066","1781.18446602","103","37","0.823785618708","0.667180049033","389","315","69","5","0","12","2","28","35","26","14"
"178698","222706","1505.28865979","97","38","0.817093644025","0.648127007577","340","269","63","8","0","13","2","25","35","18","2"
"591728","178698","2659.12437811","201","84","0.903259605765","0.793121163778","809","503","219","68","19","14","1","41","35","22","16"
"225136","591728","2519.5875","80","41","0.895312166868","0.802812522209","280","197","65","18","0","15","1","17","35","9","6"
"306463","225136","2552.1","110","60","0.916035540995","0.82381886231","356","229","88","39","0","16","1","20","35","13","8"
"461604","306463","2305.77906977","172","75","0.85916499857","0.737463280214","800","582","176","42","0","17","1","44","35","29","12"
"189956","461604","1936.59493671","79","34","0.805402303691","0.680141717029","361","301","43","17","0","18","1","29","35","15","1"
"311012","189956","2051.60769231","130","59","0.857552120175","0.734724062094","481","342","124","15","0","19","1","30","35","21","9"
"81032","311012","1404.04545455","44","16","0.762390166848","0.58274508836","219","156","43","20","0","20","1","13","35","12","2"
"347103","81032","2336.25954198","131","50","0.881726749697","0.758316695621","532","387","102","43","0","21","1","23","35","15","2"
"74860","347103","1389.48837209","43","12","0.798129842372","0.550040074806","169","130","31","8","0","22","1","13","35","8","10"
"224179","74860","2128.28888889","90","36","0.854433287685","0.728190419263","343","262","71","10","0","23","1","15","35","10","15"
"179760","224179","1573.36263736","91","32","0.796484201157","0.613034045394","396","317","69","10","0","24","1","25","35","17","2"
"116555","179760","1327.23943662","71","29","0.808493844108","0.611882802111","253","182","52","19","0","25","1","12","35","6","13"
"81382","116555","1536.35897436","39","14","0.736256174584","0.586407313657","214","186","15","13","0","26","1","16","35","8","7"
